Well_ID,Operator,Region,Well_Type,Formation,Latitude,Longitude,Spud_Date,Completion_Date,TVD_Depth_m,Status,Initial_Production_boe_d,Current_Production_boe_d,Water_Cut_pct,Royalty_Rate_pct,Cumulative_Oil_bbl,Cumulative_Gas_mcf,Cumulative_Water_bbl
AB-100423,Obsidian Energy,Medicine Hat,Oil,Bakken,49.887,-111.0286,2011-09-07,2011-10-17,4189.9,Abandoned,271.6,0.0,27.1,27.19,603090.0,104.0,1686577.0
AB-100424,Whitecap Resources,Lloydminster,Heavy Oil,Duvernay,53.2904,-109.5467,1998-12-26,1999-05-09,2462.1,Producing,175.3,9.6,98.0,1.38,786074.0,482.0,395201.0
AB-100425,Athabasca Oil Corp,Athabasca,Oil,Bakken,56.3953,-111.4922,2015-03-16,2015-07-31,555.6,Abandoned,20.1,0.0,52.6,24.55,66771.0,210.0,39949.0
AB-100426,Suncor Energy,Peace River,Oil,Clearwater,56.6152,-116.672,2014-10-23,2015-03-28,1760.8,Producing,83.7,20.2,52.3,35.85,218679.0,83.0,295912.0
AB-100427,Obsidian Energy,Medicine Hat,Oil,Montney,50.3671,-110.9871,2002-12-26,2003-04-03,451.5,Producing,106.0,1.3,85.3,31.61,469313.0,236.0,949665.0
AB-100428,Obsidian Energy,Athabasca,Gas,Cardium,57.9379,-110.7945,2013-06-22,2013-10-21,3144.6,Producing,107.7,10.1,50.7,27.81,1863.0,11063.0,4450.0
AB-100429,Cenovus Energy,Grande Prairie,Heavy Oil,McMurray,55.3572,-119.124,2015-05-17,2015-11-10,1240.2,Producing,50.5,12.0,28.7,5.21,185864.0,162.0,514222.0
AB-100430,Imperial Oil,Cold Lake,Gas,Cardium,54.4473,-110.1275,2006-11-05,2007-04-29,1185.8,Producing,18.8,3.1,65.0,2.52,3295.0,7707.0,5303.0
AB-100431,Canadian Natural Resources,Cold Lake,Heavy Oil,Viking,54.6981,-110.1447,2004-07-18,2004-08-27,1528.7,Producing,67.8,0.4,48.1,39.4,265208.0,394.0,387280.0
AB-100432,Whitecap Resources,Grande Prairie,Gas,Clearwater,55.331,-119.0102,2001-10-02,2001-10-24,1935.4,Producing,216.8,3.7,84.5,9.58,1006.0,1350.0,1672.0
AB-100433,Cenovus Energy,Cold Lake,Gas,Bakken,54.2209,-109.8487,1999-01-27,1999-07-17,2747.1,Producing,228.1,0.6,58.0,14.18,2349.0,12048.0,2803.0
AB-100434,Baytex Energy,Cold Lake,Heavy Oil,Montney,54.5869,-110.0625,2016-05-24,2016-10-13,2482.7,Producing,84.6,11.9,76.2,5.86,155915.0,352.0,383415.0
AB-100435,Obsidian Energy,Athabasca,Gas,Colorado Group,57.7935,-110.5851,2004-03-16,2004-06-03,1660.3,Suspended,307.7,0.0,57.3,35.33,4805.0,336.0,13026.0
AB-100436,Athabasca Oil Corp,Peace River,Oil,Montney,56.6893,-116.5609,2001-05-23,2001-07-28,2171.4,Suspended,17.0,0.0,54.3,24.24,66590.0,286.0,95467.0
AB-100437,Suncor Energy,Lloydminster,Oil,Montney,53.3005,-109.6508,1999-10-20,2000-02-08,1041.7,Suspended,23.9,0.0,83.9,37.4,131589.0,14.0,117275.0
AB-100438,Obsidian Energy,Cold Lake,Oil,Duvernay,54.6832,-110.3795,2018-04-07,2018-09-01,2759.8,Producing,293.9,45.0,48.8,39.68,455140.0,125.0,818073.0
AB-100439,MEG Energy,Athabasca,Oil Sands,Cardium,58.093,-111.8601,2017-03-14,2017-06-10,2688.5,Abandoned,39.4,0.0,65.5,23.74,121753.0,91.0,144816.0
AB-100440,Crescent Point Energy,Peace River,Oil Sands,Duvernay,56.247,-116.7101,2007-03-04,2007-04-20,1753.4,Producing,72.4,0.2,41.9,30.54,273813.0,261.0,332502.0
AB-100441,Baytex Energy,Cold Lake,Oil Sands,Duvernay,54.5564,-110.011,2018-02-14,2018-04-06,1070.7,Producing,74.4,19.4,32.4,10.45,113802.0,49.0,272229.0
AB-100442,Imperial Oil,Lloydminster,Oil Sands,Clearwater,53.1042,-109.7188,2013-01-19,2013-02-13,2188.8,Producing,71.7,11.1,66.5,32.61,340883.0,20.0,1019585.0
AB-100443,Imperial Oil,Lloydminster,Heavy Oil,McMurray,53.2329,-110.1383,2001-04-12,2001-06-21,2408.6,Producing,942.7,28.4,79.8,35.15,7501443.0,170.0,21358527.0
AB-100444,Canadian Natural Resources,Grande Prairie,Gas,Cardium,55.433,-119.2414,2021-05-26,2021-08-14,1279.4,Producing,105.9,50.6,81.6,4.9,4025.0,26242.0,9091.0
AB-100445,Baytex Energy,Medicine Hat,Gas,Viking,50.1492,-110.4087,2019-01-16,2019-04-10,910.8,Abandoned,52.1,0.0,60.5,15.39,3610.0,11535.0,2781.0
AB-100446,Cenovus Energy,Medicine Hat,Gas,Viking,50.1227,-110.6608,2022-09-24,2023-02-16,2200.7,Suspended,95.3,0.0,,4.05,3941.0,1855.0,10272.0
AB-100447,Cenovus Energy,Peace River,Oil Sands,Cardium,56.1135,-116.9533,2021-12-19,2022-04-23,2020.0,Abandoned,26.4,0.0,76.3,26.5,37989.0,1476.0,17215.0
AB-100448,Obsidian Energy,Peace River,Oil Sands,McMurray,56.9864,-116.7849,2004-04-07,2004-07-10,1606.9,Producing,14.4,0.0,45.9,18.96,79790.0,321.0,88765.0
AB-100449,Canadian Natural Resources,Medicine Hat,Oil,Bakken,49.8672,-110.9623,2020-06-12,2020-09-23,563.4,Suspended,58.0,0.0,27.9,33.53,50764.0,395.0,44431.0
AB-100450,Imperial Oil,Athabasca,Heavy Oil,Montney,58.4605,-111.9545,2018-12-16,2019-02-26,1738.3,Abandoned,57.2,0.0,85.7,6.8,103256.0,1409.0,50355.0
AB-100451,Cenovus Energy,Grande Prairie,Gas,Duvernay,55.5765,-118.7839,2017-09-04,2017-09-26,1240.2,Suspended,90.6,0.0,35.6,14.33,3418.0,1884.0,1207.0
AB-100452,Athabasca Oil Corp,Grande Prairie,Oil Sands,Montney,55.1661,-119.2413,2010-04-05,2010-05-12,2601.0,Producing,345.6,3.8,98.0,4.04,106426.0,776.0,77960.0
AB-100453,Canadian Natural Resources,Peace River,Oil,Clearwater,56.1064,-117.4177,2017-05-08,2017-08-30,2652.2,Producing,25.7,11.4,48.4,38.28,44338.0,1.0,75153.0
AB-100454,Whitecap Resources,Medicine Hat,Gas,Colorado Group,50.4503,-110.8976,2004-02-01,2004-05-27,1340.5,Orphan,75.0,0.0,95.9,26.05,1380.0,1034.0,2243.0
AB-100455,Whitecap Resources,Peace River,Gas,Bakken,56.2846,-117.1366,2009-12-02,2010-03-27,1232.2,Producing,34.9,0.4,36.9,3.78,346.0,13300.0,300.0
AB-100456,Obsidian Energy,Grande Prairie,Oil,McMurray,55.1752,-119.1659,2020-07-22,2020-11-19,1096.7,Producing,208.1,32.3,80.8,31.67,391713.0,227.0,380668.0
AB-100457,Baytex Energy,Cold Lake,Heavy Oil,Duvernay,54.7128,-110.1527,2015-01-11,2015-03-21,2617.3,Producing,16.8,5.8,43.4,6.64,33752.0,39.0,96134.0
AB-100458,Suncor Energy,Peace River,Oil Sands,Duvernay,56.4066,-117.1444,2007-02-08,2007-02-28,1351.9,Producing,253.5,7.6,34.3,1.75,1531595.0,883.0,3824910.0
AB-100459,Suncor Energy,Cold Lake,Gas,Cardium,54.1221,-109.8986,2018-12-23,2019-04-23,,Orphan,26.2,0.0,68.7,19.37,4589.0,9511.0,6173.0
AB-100460,Cenovus Energy,Medicine Hat,Heavy Oil,Montney,50.099,-111.0132,2005-03-05,2005-05-24,2014.0,Producing,34.5,2.1,,13.54,129623.0,1419.0,312712.0
AB-100461,Cenovus Energy,Lloydminster,Oil,Duvernay,52.9204,-109.9989,2011-10-15,2012-02-23,1044.0,Abandoned,58.4,0.0,70.4,5.6,135834.0,574.0,191850.0
AB-100462,Suncor Energy,Medicine Hat,Oil Sands,McMurray,50.3479,-110.8357,2010-11-26,2010-12-31,1037.8,Producing,54.3,1.3,30.7,36.66,130088.0,139.0,183972.0
AB-100463,Cenovus Energy,Cold Lake,Oil Sands,Clearwater,54.2198,-110.4234,2012-02-14,2012-07-31,2182.1,Producing,81.3,11.2,95.0,32.2,252000.0,401.0,193043.0
AB-100464,Obsidian Energy,Cold Lake,Oil,Clearwater,54.4,-110.4014,2014-06-08,2014-11-10,1540.1,Suspended,65.7,0.0,68.5,31.38,156713.0,73.0,281721.0
AB-100465,Athabasca Oil Corp,Grande Prairie,Heavy Oil,Bakken,55.1661,-119.2317,2002-06-19,2002-07-21,1122.6,Suspended,19.1,0.0,98.0,33.44,132231.0,5.0,164328.0
AB-100466,Imperial Oil,Grande Prairie,Gas,Bakken,55.0761,-119.3935,2009-03-04,2009-06-28,1165.9,Orphan,32.1,0.0,75.1,37.95,4423.0,7085.0,10413.0
AB-100467,MEG Energy,Peace River,Oil,Colorado Group,56.4768,-116.6774,2018-11-24,2019-05-04,939.7,Producing,29.6,6.2,46.5,4.73,61138.0,66.0,125161.0
AB-100468,Athabasca Oil Corp,Athabasca,Gas,Duvernay,56.05,-111.6207,1999-09-20,1999-12-03,1947.0,Producing,116.0,0.0,60.5,22.84,3948.0,8908.0,11700.0
AB-100469,Cenovus Energy,Medicine Hat,Oil,Colorado Group,49.8224,-111.1334,2002-07-07,2002-12-21,2774.3,Producing,214.9,3.2,60.1,31.87,1264367.0,369.0,2211230.0
AB-100470,Crescent Point Energy,Cold Lake,Oil,Duvernay,54.3275,-109.8732,2007-06-21,2007-10-13,2374.6,Abandoned,29.4,0.0,51.0,15.34,150739.0,4136.0,441185.0
AB-100471,Whitecap Resources,Medicine Hat,Oil,McMurray,50.4041,-110.8149,2005-07-06,2005-10-29,1840.1,Producing,141.6,1.2,98.0,23.61,545036.0,388.0,548517.0
AB-100472,Obsidian Energy,Grande Prairie,Oil Sands,Montney,55.0978,-118.7793,2014-08-02,2014-11-26,2204.0,Producing,56.8,2.7,55.8,28.96,110545.0,364.0,250930.0
AB-100473,Canadian Natural Resources,Athabasca,Oil Sands,Colorado Group,56.5506,-110.7067,2006-03-12,2006-07-26,2397.3,Abandoned,118.8,0.0,79.9,5.78,461071.0,3985.0,175098.0
AB-100474,Baytex Energy,Lloydminster,Oil Sands,Viking,53.3219,-109.7765,2023-11-03,2023-12-03,1344.5,Producing,49.7,25.2,41.2,1.48,37015.0,33.0,44173.0
AB-100475,Crescent Point Energy,Grande Prairie,Heavy Oil,Montney,55.1762,-118.9308,2016-10-20,2017-02-17,1201.4,Producing,144.6,28.2,59.6,19.89,359890.0,17.0,585841.0
AB-100476,Whitecap Resources,Cold Lake,Oil,McMurray,54.0877,-109.9753,2008-10-11,2008-12-23,875.9,Producing,53.8,0.3,60.8,13.17,321640.0,191.0,378557.0
AB-100477,Cenovus Energy,Peace River,Heavy Oil,Colorado Group,56.3251,-117.0289,2014-01-14,2014-06-29,2542.0,Suspended,139.9,0.0,33.3,3.1,521333.0,115.0,1146657.0
AB-100478,Canadian Natural Resources,Medicine Hat,Oil,Montney,50.0329,-110.7974,2019-08-06,2019-09-10,1865.4,Suspended,97.2,0.0,45.2,11.88,179819.0,56.0,298954.0
AB-100479,Baytex Energy,Athabasca,Gas,Viking,58.3984,-111.6878,2017-08-06,2017-11-09,1208.5,Producing,264.6,78.4,60.2,16.98,2625.0,22931.0,4169.0
AB-100480,Baytex Energy,Peace River,Oil,Clearwater,56.3167,-117.2418,2018-02-08,2018-07-13,2149.6,Suspended,49.1,0.0,39.5,23.55,80061.0,1048.0,189801.0
AB-100481,Athabasca Oil Corp,Medicine Hat,Oil Sands,Clearwater,50.3013,-110.8666,2014-08-07,2014-09-22,1166.9,Producing,46.3,1.2,89.6,38.91,152639.0,497.0,450257.0
AB-100482,MEG Energy,Medicine Hat,Gas,Viking,50.1378,-110.9271,2000-03-02,2000-04-18,,Producing,16.2,1.7,49.5,36.72,4791.0,15057.0,1634.0
AB-100483,Canadian Natural Resources,Medicine Hat,Gas,Cardium,49.8109,-110.6832,2015-08-09,2015-12-20,2763.8,Producing,145.7,56.1,84.0,16.51,3125.0,1400.0,7516.0
AB-100484,Cenovus Energy,Athabasca,Oil,Viking,58.1127,-111.2796,2018-06-16,2018-08-21,3952.9,Producing,32.5,8.0,33.1,33.29,60438.0,68.0,128188.0
AB-100485,Imperial Oil,Medicine Hat,Oil,Colorado Group,50.1233,-111.183,2010-06-15,2010-07-14,1814.8,Suspended,237.5,0.0,98.0,25.96,963411.0,59.0,2497793.0
AB-100486,Imperial Oil,Athabasca,Gas,Bakken,56.3406,-111.0544,2001-02-08,2001-04-11,2961.7,Orphan,52.5,0.0,98.0,34.19,2137.0,21767.0,3400.0
AB-100487,Imperial Oil,Athabasca,Oil Sands,Montney,56.828,-111.822,2010-07-06,2010-11-22,2387.4,Producing,85.1,2.5,50.1,31.83,253340.0,86.0,255045.0
AB-100488,Obsidian Energy,Lloydminster,Gas,Viking,53.1535,-109.7466,2010-12-19,2011-05-28,1601.9,Producing,63.9,6.3,28.0,6.06,3750.0,2207.0,10503.0
AB-100489,Obsidian Energy,Grande Prairie,Heavy Oil,Cardium,55.333,-119.2644,2011-11-23,2012-02-26,2140.8,Suspended,98.7,0.0,63.6,13.1,346744.0,62.0,463710.0
AB-100490,Suncor Energy,Lloydminster,Oil,Bakken,53.2314,-109.8523,2017-01-10,2017-06-22,1125.6,Producing,11.7,2.3,,21.37,16033.0,821.0,25763.0
AB-100491,MEG Energy,Grande Prairie,Oil,Colorado Group,55.2353,-119.3456,2012-11-24,2013-01-07,973.8,Orphan,101.6,0.0,67.6,11.97,480066.0,357.0,213423.0
AB-100492,,Peace River,Oil,Viking,56.4271,-116.9453,1998-07-13,1998-09-19,1354.3,Producing,134.2,0.0,60.2,24.92,752604.0,102.0,524409.0
AB-100493,MEG Energy,Medicine Hat,Heavy Oil,Clearwater,50.0919,-110.9196,2003-10-09,2004-01-25,1736.5,Producing,1197.4,1.3,49.0,13.38,7545784.0,46.0,15562813.0
AB-100494,Canadian Natural Resources,Medicine Hat,Heavy Oil,McMurray,50.2436,-110.4959,2004-03-08,2004-08-30,1470.5,Producing,182.9,0.9,88.4,39.9,1013718.0,161.0,2532111.0
AB-100495,MEG Energy,Peace River,Heavy Oil,Colorado Group,56.708,-117.2458,2018-03-16,2018-08-03,871.6,Producing,16.6,4.5,59.9,34.05,28881.0,1164.0,39853.0
AB-100496,Imperial Oil,Athabasca,Gas,Cardium,58.4231,-111.087,2014-02-11,2014-05-31,1991.9,Producing,211.8,45.2,46.5,12.52,968.0,125.0,701.0
AB-100497,Obsidian Energy,Medicine Hat,Oil Sands,Clearwater,49.9312,-110.8414,2018-09-06,2018-11-02,2480.2,Abandoned,118.4,0.0,31.0,17.89,163561.0,533.0,412408.0
AB-100498,MEG Energy,Peace River,Oil,McMurray,56.853,-116.5271,2004-11-25,2005-04-08,2244.8,Producing,48.2,1.7,63.6,17.56,252754.0,2642.0,718779.0
AB-100499,Suncor Energy,Peace River,Heavy Oil,Duvernay,56.524,-116.9279,2021-09-19,2021-11-23,1938.5,Producing,65.8,14.7,48.9,4.21,84038.0,184.0,57242.0
AB-100500,Obsidian Energy,Athabasca,Oil Sands,McMurray,56.5887,-111.7934,2012-10-02,2013-03-15,2741.9,Producing,30.6,9.3,98.0,28.81,84545.0,5.0,53118.0
AB-100501,Imperial Oil,Lloydminster,Gas,McMurray,53.0655,-109.7471,2021-09-12,2022-03-01,1951.0,Producing,79.3,24.3,,32.03,1679.0,18787.0,4245.0
AB-100502,Imperial Oil,Grande Prairie,Oil Sands,Colorado Group,55.0489,-119.1793,2018-07-09,2018-10-14,2047.7,Producing,244.4,53.2,19.2,34.47,405702.0,1798.0,1185665.0
AB-100503,Cenovus Energy,Peace River,Gas,Duvernay,56.1904,-116.5591,2006-09-20,2007-02-18,300.0,Producing,151.0,8.6,96.5,11.59,2246.0,11987.0,2415.0
AB-100504,Obsidian Energy,Athabasca,Gas,Duvernay,56.0247,-110.9832,2009-01-21,2009-03-14,2078.6,Producing,784.5,3.2,50.8,14.05,919.0,88082.0,1964.0
AB-100505,Obsidian Energy,Lloydminster,Gas,Colorado Group,52.9264,-109.5358,2015-02-11,2015-06-30,2547.7,Abandoned,21.8,0.0,48.5,9.28,4556.0,2962.0,1447.0
AB-100506,Cenovus Energy,Grande Prairie,Heavy Oil,Colorado Group,55.5698,-118.8464,2019-06-12,2019-08-21,2330.4,Producing,39.2,5.7,27.1,30.28,55434.0,340.0,102223.0
AB-100507,Athabasca Oil Corp,Athabasca,Oil,Bakken,58.3628,-111.6783,2006-12-19,2007-04-01,1963.7,Producing,190.3,0.3,98.0,19.35,586724.0,119.0,1108995.0
AB-100508,Cenovus Energy,Cold Lake,Oil,McMurray,54.1962,-110.0068,2013-09-27,2014-01-12,2504.5,Producing,46.5,8.1,74.0,1.58,129964.0,170.0,89189.0
AB-100509,Cenovus Energy,Medicine Hat,Heavy Oil,Colorado Group,50.0714,-111.0191,2021-12-22,2022-03-06,1950.1,Abandoned,57.1,0.0,74.7,18.28,45640.0,2111.0,79999.0
AB-100510,Cenovus Energy,Cold Lake,Heavy Oil,Duvernay,54.444,-110.299,2015-09-26,2015-12-05,2673.9,Producing,134.4,25.5,27.2,16.39,324439.0,154.0,496549.0
AB-100511,Obsidian Energy,Athabasca,Oil,Viking,56.0625,-111.0942,2015-09-25,2015-10-22,1747.0,Producing,266.1,64.3,72.4,18.61,773498.0,92.0,1122653.0
AB-100512,Athabasca Oil Corp,Grande Prairie,Oil Sands,Colorado Group,55.3211,-119.3459,2018-03-21,2018-06-28,1777.3,Suspended,289.5,0.0,31.6,14.79,582953.0,910.0,1115098.0
AB-100513,Athabasca Oil Corp,Medicine Hat,Heavy Oil,Montney,50.34,-111.1983,2013-06-15,2013-11-19,1480.8,Producing,97.0,6.6,90.4,27.1,346156.0,248.0,910229.0
AB-100514,Obsidian Energy,Lloydminster,Oil,McMurray,53.2244,-109.7298,2023-06-07,2023-08-20,1639.0,Suspended,165.6,0.0,38.0,31.28,130545.0,69.0,266283.0
AB-100515,Whitecap Resources,Peace River,Heavy Oil,Clearwater,56.2562,-117.2454,2000-05-08,2000-06-11,1203.0,Producing,94.6,5.5,72.7,8.19,407672.0,1225.0,170475.0
AB-100516,Baytex Energy,Medicine Hat,Heavy Oil,Colorado Group,50.2556,-110.8198,1998-10-17,1999-02-23,1962.6,Producing,94.8,5.2,55.1,18.52,498488.0,144.0,290380.0
AB-100517,Suncor Energy,Grande Prairie,Heavy Oil,Clearwater,55.4513,-118.8939,2014-12-25,2015-01-25,2702.2,Producing,52.1,11.1,66.3,39.97,213204.0,541.0,206503.0
AB-100518,Athabasca Oil Corp,Medicine Hat,Oil,Cardium,50.4525,-110.9004,2017-06-16,2017-11-25,2415.6,Producing,61.2,6.1,34.0,3.58,102791.0,14.0,66322.0
AB-100519,Canadian Natural Resources,Athabasca,Gas,Bakken,57.3455,-110.8117,2001-05-09,2001-09-08,2210.9,Producing,80.0,3.3,98.0,25.18,2678.0,1358.0,7824.0
AB-100520,,Grande Prairie,Oil,Viking,55.1848,-119.0856,2020-10-01,2021-02-07,,Producing,124.8,77.3,14.1,1.12,135346.0,223.0,158920.0
AB-100521,Canadian Natural Resources,Peace River,Oil,Clearwater,56.3395,-116.8198,2000-10-15,2001-01-12,903.4,Producing,32.4,1.2,98.0,30.02,274107.0,112.0,210682.0
AB-100522,MEG Energy,Medicine Hat,Gas,Colorado Group,50.2602,-111.0443,2019-11-19,2020-05-15,,Suspended,70.9,0.0,30.6,35.27,1784.0,7787.0,1980.0
AB-100523,Obsidian Energy,Grande Prairie,Oil,Cardium,54.9046,-118.9286,2003-05-19,2003-09-01,1153.8,Producing,108.1,0.1,75.3,23.94,846256.0,267.0,761929.0
AB-100524,Crescent Point Energy,Peace River,Oil,Montney,56.6759,-116.5064,2023-06-18,2023-10-31,3936.2,Producing,81.5,35.1,44.7,2.64,74083.0,124.0,119130.0
AB-100525,Crescent Point Energy,Cold Lake,Oil,McMurray,54.674,-110.1738,2004-03-12,2004-05-28,1236.0,Producing,57.8,2.0,85.8,37.75,315253.0,322.0,359435.0
AB-100526,Whitecap Resources,Medicine Hat,Oil,Clearwater,50.0844,-111.0665,1998-05-18,1998-10-06,987.9,Producing,477.2,7.8,68.0,29.11,1911043.0,25.0,995703.0
AB-100527,Suncor Energy,Cold Lake,Heavy Oil,Duvernay,54.4259,-110.3126,2016-02-26,2016-03-25,2250.8,Suspended,292.7,0.0,55.1,18.16,748054.0,2.0,1778484.0
AB-100528,Suncor Energy,Athabasca,Oil,Montney,58.382,-110.8082,2011-03-15,2011-05-19,1870.0,Producing,106.2,24.8,65.0,16.99,455109.0,2.0,1194190.0
AB-100529,Suncor Energy,Grande Prairie,Heavy Oil,Viking,55.2556,-118.6234,2013-05-24,2013-09-15,2933.3,Orphan,50.9,0.0,43.6,20.83,153754.0,1105.0,405688.0
AB-100530,Whitecap Resources,Medicine Hat,Gas,Bakken,50.4581,-110.8941,2023-10-24,2024-02-11,1545.0,Producing,412.6,195.6,9.5,13.08,4715.0,6509.0,9971.0
AB-100531,Suncor Energy,Medicine Hat,Gas,Bakken,50.3844,-110.5906,2019-01-21,2019-03-27,1082.5,Producing,103.4,48.8,57.4,24.41,4885.0,3779.0,9935.0
AB-100532,Canadian Natural Resources,Athabasca,Gas,Duvernay,57.5845,-111.1464,2021-08-19,2021-12-22,2380.9,Suspended,71.0,0.0,26.4,8.36,2845.0,10413.0,3172.0
AB-100533,MEG Energy,Grande Prairie,Oil Sands,Bakken,55.1117,-118.8935,2011-05-06,2011-08-19,2292.9,Producing,133.3,25.0,43.6,17.66,339805.0,124.0,554782.0
AB-100534,Crescent Point Energy,Medicine Hat,Oil,Montney,50.0077,-110.5264,2020-10-27,2020-12-09,989.7,Producing,102.0,29.5,32.6,35.1,105449.0,21.0,251803.0
AB-100535,Whitecap Resources,Peace River,Oil Sands,Duvernay,56.3611,-116.6478,2012-09-21,2012-11-13,1585.5,Producing,62.7,0.6,69.6,24.88,207020.0,36.0,468318.0
AB-100536,Imperial Oil,Peace River,Heavy Oil,Viking,56.3239,-116.8635,2004-10-16,2005-02-19,2188.1,Producing,47.2,6.6,96.7,28.07,340401.0,23.0,151212.0
AB-100537,Imperial Oil,Cold Lake,Oil Sands,McMurray,54.3523,-110.005,2018-02-08,2018-06-19,2222.5,Suspended,65.3,0.0,64.2,8.71,139168.0,389.0,85358.0
AB-100538,Cenovus Energy,Cold Lake,Gas,Clearwater,54.756,-109.8086,2020-08-05,2020-09-04,2152.4,Suspended,129.4,0.0,58.7,27.69,95.0,11847.0,67.0
AB-100539,Suncor Energy,Medicine Hat,Oil,Duvernay,49.8193,-110.5328,2001-01-17,2001-07-06,2782.2,Producing,86.1,1.4,91.0,34.99,486790.0,87.0,1396760.0
AB-100540,Cenovus Energy,Medicine Hat,Oil Sands,Clearwater,50.3897,-110.7227,2007-01-04,2007-04-07,2705.4,Producing,97.5,11.8,,17.73,580304.0,20.0,1316324.0
AB-100541,Crescent Point Energy,Athabasca,Heavy Oil,McMurray,56.8737,-110.6174,2003-10-10,2003-11-30,1331.7,Producing,290.4,0.2,76.6,30.46,1818093.0,59.0,3925806.0
AB-100542,Athabasca Oil Corp,Lloydminster,Heavy Oil,Bakken,52.8266,-109.6277,1999-03-21,1999-07-08,1782.4,Suspended,81.6,0.0,54.7,38.85,488039.0,263.0,790382.0
AB-100543,MEG Energy,Athabasca,Gas,McMurray,56.9966,-111.8206,2021-09-01,2022-02-07,2516.9,Producing,336.1,105.1,57.3,18.4,3474.0,912.0,1789.0
AB-100544,Athabasca Oil Corp,Lloydminster,Gas,Colorado Group,53.2042,-110.1946,2017-09-23,2018-01-28,1823.1,Producing,224.1,13.7,50.8,9.73,2220.0,20281.0,6036.0
AB-100545,Cenovus Energy,Peace River,Oil,Montney,56.3932,-116.6736,2020-07-09,2020-11-01,1757.4,Producing,21.3,5.0,52.7,13.45,28010.0,198.0,29527.0
AB-100546,Obsidian Energy,Lloydminster,Heavy Oil,Clearwater,53.2118,-110.0513,2023-04-03,2023-07-05,744.9,Producing,81.2,28.8,32.3,11.26,40078.0,649.0,85131.0
AB-100547,Obsidian Energy,Lloydminster,Oil Sands,McMurray,53.3659,-109.694,2022-02-21,2022-06-27,1874.7,Producing,66.0,32.8,60.3,21.05,88642.0,45.0,253704.0
AB-100548,Obsidian Energy,Peace River,Oil Sands,Clearwater,56.3352,-117.458,2003-07-19,2004-01-06,1592.4,Suspended,27.3,0.0,60.5,9.43,101251.0,520.0,186306.0
AB-100549,Suncor Energy,Peace River,Oil Sands,Duvernay,56.8383,-116.9445,2009-10-20,2010-01-12,2543.5,Abandoned,49.8,0.0,,32.59,206181.0,6.0,345326.0
AB-100550,Obsidian Energy,Medicine Hat,Oil Sands,Cardium,50.4056,-110.747,2006-04-14,2006-08-18,804.4,Producing,83.1,0.8,77.5,34.92,397587.0,793.0,987043.0
AB-100551,Crescent Point Energy,Athabasca,Oil Sands,Montney,57.2386,-111.8497,2023-07-17,2023-09-08,567.9,Producing,119.8,65.3,43.7,10.52,74272.0,167.0,128234.0
AB-100552,Baytex Energy,Medicine Hat,Heavy Oil,Duvernay,50.0353,-110.9645,2001-11-18,2002-01-13,2587.0,Producing,23.6,0.8,83.3,7.52,90766.0,67.0,121757.0
AB-100553,MEG Energy,Cold Lake,Oil,Cardium,54.1652,-109.8211,2021-07-22,2022-01-10,2918.2,Producing,32.1,8.3,43.3,19.1,35088.0,13.0,17878.0
AB-100554,Suncor Energy,Medicine Hat,Oil Sands,Clearwater,50.0238,-110.8951,2003-12-13,2004-03-17,2236.8,Producing,166.9,0.2,73.1,27.46,782296.0,98.0,767263.0
AB-100555,Cenovus Energy,Lloydminster,Heavy Oil,Colorado Group,52.8444,-110.0775,2015-01-10,2015-06-28,784.1,Abandoned,29.0,0.0,67.5,23.4,103901.0,38.0,96527.0
AB-100556,Crescent Point Energy,Cold Lake,Oil,Colorado Group,54.3328,-110.3794,2000-02-08,2000-05-21,1510.6,Producing,117.7,0.0,65.7,4.83,717457.0,185.0,1637103.0
AB-100557,Athabasca Oil Corp,Lloydminster,Oil,Montney,53.2633,-109.5504,2004-03-20,2004-04-30,1114.5,Producing,66.0,4.6,78.1,24.36,483026.0,252.0,678110.0
AB-100558,Canadian Natural Resources,Athabasca,Gas,Duvernay,57.6301,-111.798,2002-04-12,2002-05-22,1301.4,Suspended,997.1999999999999,0.0,95.8,28.26,4521.0,575.0,11185.0
AB-100559,Athabasca Oil Corp,Lloydminster,Gas,Colorado Group,53.3,-109.5496,2016-01-01,2016-04-07,2877.7,Producing,45.4,1.5,37.5,21.17,372.0,4385.0,754.0
AB-100560,Athabasca Oil Corp,Peace River,Oil,Montney,56.257,-117.4478,2014-11-05,2015-02-07,1954.8,Producing,34.2,6.6,43.4,22.9,117202.0,529.0,265565.0
AB-100561,Suncor Energy,Grande Prairie,Gas,Duvernay,55.4961,-118.9211,2009-09-13,2010-02-19,2638.4,Producing,146.7,5.4,41.1,35.94,2890.0,468.0,6449.0
AB-100562,MEG Energy,Medicine Hat,Oil,Bakken,50.4758,-110.4473,2013-04-08,2013-06-27,,Producing,93.7,9.9,57.4,8.35,389333.0,15.0,254112.0
AB-100563,Obsidian Energy,Medicine Hat,Gas,Duvernay,49.9153,-111.1663,2015-10-18,2016-01-14,1145.8,Producing,71.5,3.4,57.2,39.3,315.0,7434.0,844.0
AB-100564,Cenovus Energy,Cold Lake,Gas,McMurray,54.096,-110.1276,2003-08-25,2003-09-09,1567.7,Producing,69.5,0.1,70.0,25.35,4128.0,3674.0,11679.0
